"Site","Tag","Species","Family","WSG","HOM","DBH","Ht","Notes","ID","b1.hom","b1.iso","range.hom","range.iso","iso"
"BKT","4113","SHORLE","Dipterocarpaceae",0.44,2.1,106,49.4,"","BKT-4113",0.0197705918705649,0.0197705918705649,3.12004699124326,3.12004699124326,0.902199017643566
"BKT","1311","ENDOMA","Euphorbiaceae",0.366667,2.8,69,25.2,"","BKT-1311",0.0314883710009627,0.0468335627617219,1.71997784292066,2.04556474333721,0.960179566788465
"BKT","3431","ARTOSC","Moraceae",0.44,1.6,55,22.6,"","BKT-3431",0.0924081578481005,0.0924081578481005,1.61257387692344,1.61257387692344,0.891174885580359
"BKT","5330","EUGEGD","Myrtaceae",0.649229,1.8,75,NA,"forgot to measure total height","BKT-5330",0.0323335357570392,0.0323335357570392,3.12031078606348,3.12031078606348,0.820266682265304
"BKT","140","PALAOX","Sapotaceae",0.579753,1.7,69,36.2,"","BKT-140",0.0184386890631775,0.0240527131504686,2.47361152456663,2.90512989879898,0.966372102179995
"BKT","98","PALAGU","Sapotaceae",0.615,1.7,37,26.8,"","BKT-98",0.0815743676871467,0.0815743676871467,2.04454621730471,2.04454621730471,0.974301925547145
"HKK","89856","ACEROB","Sapindaceae",0.603,1.6,33.4,27.83,"","HKK-89856",0.0808698910442377,0.0808698910442377,1.82817226182477,1.82817226182477,0.885012611567085
"HKK","29243","AFZEXY","Fabaceae-caesalpinioideae",0.692149,1.5,74.6,20.63,"","HKK-29243",0.0107017205855424,0.0107017205855424,1.61408466011319,1.61408466011319,0.97592019748808
"HKK","15174","AFZEXY","Fabaceae-caesalpinioideae",0.692149,2.3,71.8,26.03,"","HKK-15174",0.0717855809767197,0.0717855809767197,2.25746111066478,2.25746111066478,0.965088471055039
"HKK","82131","ALPHVE","Annonaceae",0.738,1.6,47.5,29.03,"","HKK-82131",0.109633061659275,0.109633061659275,1.614182050125,1.614182050125,0.889292770001599
"HKK","80867","CARABR","Rhizophoraceae",0.665857,3,54.9,31.4,"","HKK-80867",0.0630918065079913,0.0630918065079913,1.50498260921072,1.50498260921072,0.974683551181561
"HKK","105780","CHUKTA","Meliaceae",0.5482,2.4,48.5,32.63,"","HKK-105780",0.0320261769689723,0.0320261769689723,2.47446246346785,2.47446246346785,0.97312578371382
"HKK","89018","DIMOLO","Sapindaceae",0.7,1.7,62.3,30.83,"","HKK-89018",0.0494943136211607,0.0494943136211607,2.47406503990323,2.47406503990323,0.971080317318199
"HKK","80109","DIOSVA","Ebenaceae",0.697332,1.8,37.6,25.43,"","HKK-80109",0.122706475313793,0.122706475313793,1.61785710345614,1.61785710345614,0.944569241176278
"HKK","77879","DIPTAL","Dipterocarpaceae",0.599,3.6,144.4,54.63,"","HKK-77879",0.0349232190497615,0.0349232190497615,3.33513899729074,3.33513899729074,0.960662692884952
"HKK","85162","DIPTAL","Dipterocarpaceae",0.599,2.6,76.9,36.2,"","HKK-85162",0.0180116190456742,0.00565551728269156,1.61369104302259,2.04175351616594,0.939677074264056
